State,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Alabama,849409,16199,,,173236,3304,6316572,1288259,4903185
Alaska,147103,853,117486.0,28764.0,201085,1166,3566952,4875916,731545
Arizona,1298091,22761,1172894.0,102436.0,178341,3127,14851253,2040367,7278717
Arkansas,534590,8776,518236.0,7578.0,177145,2908,5547755,1838342,3017804
California,5004337,75211,,,126653,1903,113331747,2868271,39512223
Colorado,846892,9755,623031.0,214106.0,147062,1694,13365969,2320990,5758736
Connecticut,432675,8909,395309.0,28457.0,121358,2499,12572695,3526419,3565287
Delaware,157175,2203,144013.0,10959.0,161410,2262,904245,928608,973764
Florida,3751247,61789,3585019.0,104439.0,174657,2877,44160923,2056126,21477737
Georgia,1673082,30724,1468405.0,173953.0,157579,2894,17932282,1688949,10617423
Hawaii,88440,1033,,,62463,730,2757056,1947249,1415872
Idaho,310010,3995,135021.0,170994.0,173474,2236,2316778,1296415,1787065
Illinois,1861254,29710,1676694.0,154850.0,146881,2345,40237790,3175376,12671821
Indiana,1134898,17829,1025797.0,91272.0,168577,2648,15721809,2335309,6732219
Iowa,570581,7445,486466.0,76670.0,180846,2360,7110579,2253699,3155070
Kansas,477789,6743,429250.0,41796.0,164002,2315,1932901,663472,2913314
Kentucky,802417,11348,,,179605,2540,10735334,2402892,4467673
Louisiana,774181,14844,,,166534,3193,11689698,2514566,4648794
Maine,124098,1348,,,92320,1003,3873309,2881472,1344212
Maryland,592679,11255,,,98033,1862,15198334,2513916,6045680
Massachusetts,951969,19567,,,138117,2839,34122857,4950721,6892503
Michigan,1535147,26239,1126184.0,382724.0,153717,2627,19810599,1983667,9986857
Minnesota,934423,9823,899486.0,25114.0,165689,1742,15224743,2699599,5639632
Mississippi,517138,10306,501212.0,5620.0,173761,3463,4309537,1448025,2976149
Missouri,926310,15535,769499.0,141276.0,150928,2531,11538883,1880084,6137428
Montana,193005,2777,186962.0,3266.0,180585,2598,2198648,2057161,1068778
Nebraska,317450,3202,,,164107,1655,4254600,2199433,1934408
Nevada,475460,8126,434632.0,32702.0,154362,2638,5657858,1836874,3080156
New Hampshire,170080,1757,158999.0,9324.0,125085,1292,3597755,2645970,1359711
New Jersey,1279667,28494,1147763.0,103410.0,144071,3208,16194889,1823299,8882190
New Mexico,325272,5430,274839.0,45003.0,155126,2590,5398949,2574816,2096829
New York,2886449,58467,2386604.0,441378.0,148376,3005,82057636,4218129,19453561
North Carolina,1555216,18880,1503247.0,33089.0,148284,1800,20582498,1962465,10488084
North Dakota,165375,1928,160456.0,2991.0,217010,2530,547905,718977,762062
Ohio,1743801,27011,1594843.0,121947.0,149182,2311,18382258,1572598,11689100
Oklahoma,675733,11272,653699.0,10762.0,170770,2849,4702572,1188427,3956971
Oregon,397421,5299,353384.0,38738.0,94226,1256,8215379,1947817,4217737
Pennsylvania,1791030,34107,,,139902,2664,20200730,1577937,12801989
Rhode Island,198036,2949,,,186939,2784,6171158,5825359,1059361
South Carolina,925629,14318,860505.0,50806.0,179779,2781,12636626,2454327,5148714
South Dakota,169789,2375,159767.0,7647.0,191926,2685,1738541,1965210,884659
Tennessee,1329496,17650,1293753.0,18093.0,194679,2584,10818290,1584129,6829174
Texas,4361383,74686,4231854.0,54843.0,150414,2576,48372150,1668242,28995881
Utah,606531,3606,573227.0,29698.0,189189,1125,7384368,2303326,3205958
Vermont,53431,419,43123.0,9889.0,85628,671,2637753,4227243,623989
Virginia,985296,14798,,,115435,1734,14940077,1750342,8535519
Washington,789394,9522,331418.0,448454.0,103664,1250,9842443,1292525,7614893
West Virginia,302120,5021,288850.0,8249.0,168580,2802,4606323,2570282,1792147
Wisconsin,997688,10134,,,171352,1741,12463689,2140632,5822434
Wyoming,112368,1472,109550.0,1346.0,194153,2543,1160682,2005467,578759
